name,path,row,lat,lon,lat_UL,lon_UL,lat_UR,lon_UR,lat_LL,lon_LL,lat_LR,lon_LR
107_122,107.000000,122.000000,-81.844418,35.442913,-80.929000,40.614000,-82.680000,41.833000,-80.929000,30.272000,-82.680000,29.053000
106_122,106.000000,122.000000,-81.844418,36.987978,-80.929000,42.159000,-82.680000,43.378000,-80.929000,31.817000,-82.680000,30.598000
105_122,105.000000,122.000000,-81.844418,38.533042,-80.929000,43.704000,-82.680000,44.923000,-80.929000,33.362000,-82.680000,32.143000
104_122,104.000000,122.000000,-81.844418,40.078107,-80.929000,45.249000,-82.680000,46.468000,-80.929000,34.907000,-82.680000,33.688000
103_122,103.000000,122.000000,-81.844418,41.623171,-80.929000,46.794000,-82.680000,48.013000,-80.929000,36.452000,-82.680000,35.233000
102_122,102.000000,122.000000,-81.844418,43.168235,-80.929000,48.339000,-82.680000,49.558000,-80.929000,37.997000,-82.680000,36.779000
101_122,101.000000,122.000000,-81.844418,44.713300,-80.929000,49.885000,-82.680000,51.103000,-80.929000,39.542000,-82.680000,38.324000
100_122,100.000000,122.000000,-81.844418,46.258364,-80.929000,51.430000,-82.680000,52.648000,-80.929000,41.087000,-82.680000,39.869000
99_122,99.000000,122.000000,-81.844418,47.803428,-80.929000,52.975000,-82.680000,54.193000,-80.929000,42.632000,-82.680000,41.414000
98_122,98.000000,122.000000,-81.844418,49.348493,-80.929000,54.520000,-82.680000,55.738000,-80.929000,44.177000,-82.680000,42.959000
97_122,97.000000,122.000000,-81.844418,50.893557,-80.929000,56.065000,-82.680000,57.283000,-80.929000,45.722000,-82.680000,44.504000
96_122,96.000000,122.000000,-81.844418,52.438622,-80.929000,57.610000,-82.680000,58.828000,-80.929000,47.267000,-82.680000,46.049000
95_122,95.000000,122.000000,-81.844418,53.983686,-80.929000,59.155000,-82.680000,60.373000,-80.929000,48.812000,-82.680000,47.594000
94_122,94.000000,122.000000,-81.844418,55.528750,-80.929000,60.700000,-82.680000,61.918000,-80.929000,50.357000,-82.680000,49.139000
93_122,93.000000,122.000000,-81.844418,57.073815,-80.929000,62.245000,-82.680000,63.464000,-80.929000,51.903000,-82.680000,50.684000
